id,time,class,var1,var2,var3,var4,var5,var6
1,1,3,-1,0,57,-5,-3,0
1,2,3,0,-3,63,-1,0,0
1,3,3,-1,1,51,-4,-1,-1
1,4,3,-1,-2,68,-2,-2,0
1,5,3,-1,-1,65,-6,1,0
1,6,3,0,0,61,-5,-2,0
1,7,3,-1,1,61,-6,0,-1
1,8,3,0,-3,57,3,-4,0
1,9,3,-1,-1,59,-4,-4,0
1,10,3,1,-3,65,-1,1,0
1,11,3,-1,2,64,-7,-2,0
1,12,3,-1,1,66,-7,-3,-1
1,13,3,-1,0,61,-5,-5,0
1,14,3,-1,0,65,-6,-2,-1
1,15,3,-1,0,54,-4,-3,0
2,1,3,0,-2,65,-4,-2,0
2,2,3,-1,-2,56,-5,-3,0
2,3,3,0,0,58,-9,-1,0
2,4,3,-1,-1,56,-5,-3,0
2,5,3,-2,3,57,-12,-4,-1
2,6,3,-1,-2,65,-5,-2,0
2,7,3,-1,2,56,-9,-5,0
2,8,3,2,-2,60,-2,3,1
2,9,3,0,1,67,-9,-2,1
2,10,3,-1,2,60,-10,-5,0
2,11,3,0,-3,63,-3,-1,0
2,12,3,-1,-1,73,-8,-5,0
2,13,3,-1,0,57,-7,-4,-1
2,14,3,-1,0,59,-8,-4,-1
2,15,3,-1,1,57,-9,-4,-1
3,1,3,-3,1,53,-10,-4,0
3,2,3,0,-2,65,-4,-1,0
3,3,3,-1,-1,56,-7,-3,0
3,4,3,0,-2,60,-6,0,0
3,5,3,-1,-1,57,-7,-4,0
3,6,3,-1,-1,56,-7,-3,0
3,7,3,-1,-1,61,-8,-5,0
3,8,3,-1,0,57,-6,-5,0
3,9,3,-2,-1,57,-7,-4,1
3,10,3,-1,0,53,-10,-5,-1
3,11,3,0,-2,70,-7,-5,0
3,12,3,-1,0,67,-10,-7,-1
3,13,3,0,-2,50,-3,-1,0
3,14,3,-1,-1,59,-9,-4,0
3,15,3,0,-2,61,-6,-1,0
4,1,3,2,0,69,-10,2,1
4,2,3,-2,1,58,-11,-4,0
4,3,3,-2,3,54,-12,-6,0
4,4,3,1,-1,62,-6,0,0
4,5,3,-1,1,63,-11,-3,-1
4,6,3,-1,0,50,-8,-1,-1
4,7,3,-1,0,60,-13,-5,0
4,8,3,-1,0,57,-11,-4,-1
4,9,3,-1,0,60,-8,-5,-1
4,10,3,-1,1,60,-8,-5,-1
4,11,3,1,0,60,-7,-1,0
4,12,3,-2,1,60,-12,-6,3
4,13,3,-1,0,63,-10,-3,1
4,14,3,-1,-1,54,-11,-3,0
4,15,3,0,-3,57,-5,1,0
5,1,3,-1,-1,63,-3,0,0
5,2,3,-1,-1,63,-3,0,0
5,3,3,-1,-1,63,-2,-1,0
5,4,3,-2,1,52,-6,-3,0
5,5,3,1,-7,68,6,2,0
5,6,3,-1,-1,63,-5,-1,0
5,7,3,0,2,64,-5,1,0
5,8,3,-3,4,57,-8,-3,0
5,9,3,0,-3,65,1,0,0
5,10,3,0,-3,61,-1,-1,0
5,11,3,-1,0,57,-5,-3,0
5,12,3,0,-3,70,0,1,0
